Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Savage,42.53,-72.18,Temperate,Forest,Natural,790,NA,NA,1996,0.67,-0.075,-0.852,-0.394,7.95,8.77,8.66,0.238,0.235,42.64,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,790,NA,NA,1996,0.67,-0.075,-0.852,-0.394,7.95,8.77,8.66,0.238,0.235,42.64,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,750,NA,NA,1996,0.67,-0.075,-0.852,-0.394,7.95,8.77,8.66,0.238,0.235,42.64,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,780,NA,NA,1996,0.67,-0.075,-0.852,-0.394,7.95,8.77,8.66,0.238,0.235,42.64,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,400,NA,NA,1996,0.67,-0.075,-0.852,-0.394,7.95,8.77,8.66,0.238,0.235,42.64,5.26,0,1,Sand,5,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,820,NA,NA,1996,0.517,-0.374,-1.066,-0.679,6.23,7.36,7.28,0.256,0.256,41.62,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,740,NA,NA,1996,0.517,-0.374,-1.066,-0.679,6.23,7.36,7.28,0.256,0.256,41.62,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,500,NA,NA,1996,0.517,-0.374,-1.066,-0.679,6.23,7.36,7.28,0.256,0.256,41.62,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,460,NA,NA,1996,0.517,-0.374,-1.066,-0.679,6.23,7.36,7.28,0.256,0.256,41.62,5.2,0,1,Sand,18,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,640,NA,NA,1997,0.735,0.912,0.67,-0.075,7.94,8.22,8.09,0.228,0.222,35.02,5.26,0,1,Sand,5,0,NA,NA
